Buyer Name,Total Price,Time,cashier
b@gmail.com,10.55,2025-6-2 17:10:19,m@gmail.com
b@gmail.com,119.58,2025-6-2 17:12:27,m@gmail.com
b@gmail.com,52.20,2025-6-2 17:13:32,m@gmail.com
n@gmail.com,31.09,2025-6-2 18:33:47,m@gmail.com
b@gmail.com,9.10,2025-6-3 6:36:59,m@gmail.com
b@gmail.com,3.49,2025-6-3 6:39:57,m@gmail.com
b@gmail.com,4.55,2025-6-3 6:53:5,m@gmail.com
b@gmail.com,3.49,2025-6-3 6:55:21,m@gmail.com
n@gmail.com,3.49,2025-6-3 14:3:38,m@gmail.com
n@gmail.com,3.49,2025-6-3 14:4:15,m@gmail.com
n@gmail.com,3.49,2025-6-3 14:6:36,lara@gmail.com
n@gmail.com,9.22,2025-6-3 14:55:12,lara@gmail.com
n@gmail.com,3.49,2025-6-4 10:56:29,lara@gmail.com
n@gmail.com,3.49,2025-6-4 10:56:49,lara@gmail.com
n@gmail.com,3.49,2025-6-4 10:59:28,m@gmail.com
n@gmail.com,1191.00,2025-6-4 16:6:30,m@gmail.com
n@gmail.com,6.45,2025-6-4 18:52:9,m@gmail.com
n@gmail.com,3.49,2025-6-4 18:54:13,lara@gmail.com
n@gmail.com,141.60,2025-6-5 11:34:29,m@gmail.com
n@gmail.com,20.86,2025-6-6 18:51:7,m@gmail.com
n@gmail.com,23.52,2025-6-6 18:51:33,m@gmail.com
n@gmail.com,3.49,2025-6-9 9:12:5,m@gmail.com
n@gmail.com,13.96,2025-6-9 9:12:37,m@gmail.com
