Khorn Victor,20,M,081232224,admin,v@gmail.com,1
Gran Torismo,24,F,0900000000,customer,f@gmail.com,2
Lara Croft,29,F,0811122233,cashier,lara@gmail.com,3
Chin Chang,40,M,0823344556,manager,johnw@gmail.com,4
Diana Prince,27,F,0856677889,customer,dianap@gmail.com,7
Clark Kent,32,M,0867788990,admin,clarkk@gmail.com,8
Natasha Romanoff,31,F,0878899001,cashier,natashar@gmail.com,9
Peter Parker,22,M,0889900112,customer,peterp@gmail.com,10
Selina Kyle,28,F,0890011223,customer,selinak@gmail.com,11
Tony Stark,45,M,0901122334,customer,tonys@gmail.com,12
dfser,20,F,099999999,admin,kazin2@gmail.com,2
Gi GA MUS,99,M,0000000000,manager,c@gmail.com,34
Harry Kane,39,M,0900000000,admin,Harr@gmail.com,1
Leap Nosmoke,19,M,0976675567,admin,leap@gmail.com,123
Gam ming,23,M,081323442,admin,game@gmail.com,123
Jam,23,M,090000000,customer,C@gmail.com,123
So Vicheka,23,M,081323442,customer,b@gmail.com,1
Fan Club,14,F,098763473,customer,fas@gmail.com,1
Houng Phynann,20,M,096785667,customer,n@gmail.com,1
Hennessey Vemon,23,M,0897237823,customer,hend@gmail.com,123
Kriya Mustafa,20,M,087205929,cashier,m@gmail.com,1
Hao Rotha,20,F,081323442,manager,r@gmail.com,1
Kim Putdararith,20,M,081323442,customer,p@gmail.com,1
Nani Dafuq,0,F,081323442,cashier,u@gmail.com,1
PHYNANN HUONG,20,M,012537895,customer,nan@gmail.com,123
Jan My,34,F,081323442,manager,J@gmail.com,123
